aforo;hora
97;2023-05-03 11:14:00
98;2023-05-03 11:15:00
95;2023-05-03 11:16:00
96;2023-05-03 11:17:00
98;2023-05-03 11:21:00
100;2023-05-03 11:24:00
98;2023-05-03 11:27:00
99;2023-05-03 11:28:00
100;2023-05-03 11:29:00
104;2023-05-03 11:30:00
103;2023-05-03 11:33:00
96;2023-05-03 11:35:00
95;2023-05-03 11:35:00
96;2023-05-03 11:38:00
97;2023-05-03 11:41:00
98;2023-05-03 11:42:00
99;2023-05-03 11:44:00
100;2023-05-03 11:50:00
101;2023-05-03 11:51:00
99;2023-05-03 11:53:00
101;2023-05-03 11:54:00
102;2023-05-03 11:57:00
101;2023-05-03 12:00:00
100;2023-05-03 12:01:00
101;2023-05-03 12:04:00
103;2023-05-03 12:05:00
102;2023-05-03 12:07:00
101;2023-05-03 12:08:00
102;2023-05-03 12:10:00
101;2023-05-03 12:11:00
98;2023-05-03 12:12:00
100;2023-05-03 12:14:00
101;2023-05-03 12:15:00
102;2023-05-03 12:17:00
103;2023-05-03 12:17:00
102;2023-05-03 12:21:00
101;2023-05-03 12:22:00
100;2023-05-03 12:24:00
99;2023-05-03 12:28:00
97;2023-05-03 12:29:00
100;2023-05-03 12:31:00
101;2023-05-03 12:32:00
98;2023-05-03 12:36:00
95;2023-05-03 12:37:00
94;2023-05-03 12:39:00
92;2023-05-03 12:40:00
91;2023-05-03 12:44:00
90;2023-05-03 12:46:00
89;2023-05-03 12:50:00
88;2023-05-03 12:51:00
89;2023-05-03 12:52:00
87;2023-05-03 12:58:00
89;2023-05-03 13:00:00
88;2023-05-03 13:02:00
89;2023-05-03 13:03:00
87;2023-05-03 13:05:00
88;2023-05-03 13:06:00
90;2023-05-03 13:08:00
88;2023-05-03 13:09:00
87;2023-05-03 13:11:00
88;2023-05-03 13:13:00
90;2023-05-03 13:15:00
92;2023-05-03 13:16:00
91;2023-05-03 13:19:00
92;2023-05-03 13:23:00
91;2023-05-03 13:28:00
92;2023-05-03 13:29:00
94;2023-05-03 13:30:00
93;2023-05-03 13:34:00
94;2023-05-03 13:35:00
96;2023-05-03 13:37:00
94;2023-05-03 13:41:00
96;2023-05-03 13:42:00
98;2023-05-03 13:46:00
99;2023-05-03 13:48:00
100;2023-05-03 13:49:00
99;2023-05-03 13:50:00
98;2023-05-03 13:52:00
99;2023-05-03 13:54:00
101;2023-05-03 13:57:00
98;2023-05-03 13:58:00
97;2023-05-03 13:59:00
98;2023-05-03 14:00:00
100;2023-05-03 14:01:00
101;2023-05-03 14:02:00
103;2023-05-03 14:04:00
104;2023-05-03 14:06:00
103;2023-05-03 14:07:00
104;2023-05-03 14:08:00
103;2023-05-03 14:09:00
102;2023-05-03 14:11:00
103;2023-05-03 14:12:00
104;2023-05-03 14:13:00
105;2023-05-03 14:14:00
102;2023-05-03 14:18:00
100;2023-05-03 14:19:00
99;2023-05-03 14:20:00
102;2023-05-03 14:23:00
104;2023-05-03 14:24:00
106;2023-05-03 14:27:00
105;2023-05-03 14:28:00
106;2023-05-03 14:30:00
104;2023-05-03 14:31:00
102;2023-05-03 14:33:00
103;2023-05-03 14:36:00
104;2023-05-03 14:38:00
103;2023-05-03 14:41:00
102;2023-05-03 14:42:00
103;2023-05-03 14:43:00
102;2023-05-03 14:44:00
100;2023-05-03 14:45:00
102;2023-05-03 14:47:00
101;2023-05-03 14:48:00
104;2023-05-03 14:49:00
105;2023-05-03 14:51:00
108;2023-05-03 14:53:00
109;2023-05-03 14:54:00
108;2023-05-03 14:55:00
111;2023-05-03 14:57:00
112;2023-05-03 14:58:00
111;2023-05-03 14:59:00
109;2023-05-03 15:00:00
111;2023-05-03 15:02:00
113;2023-05-03 15:03:00
114;2023-05-03 15:04:00
113;2023-05-03 15:05:00
116;2023-05-03 15:07:00
113;2023-05-03 15:08:00
115;2023-05-03 15:09:00
117;2023-05-03 15:10:00
122;2023-05-03 15:16:00
