aforo;hora
61;2023-04-27 08:53:00
60;2023-04-27 08:55:00
59;2023-04-27 08:56:00
58;2023-04-27 08:58:00
61;2023-04-27 09:01:00
58;2023-04-27 09:02:00
61;2023-04-27 09:04:00
59;2023-04-27 09:05:00
62;2023-04-27 09:10:00
63;2023-04-27 09:12:00
64;2023-04-27 09:14:00
65;2023-04-27 09:17:00
62;2023-04-27 09:18:00
63;2023-04-27 09:20:00
62;2023-04-27 09:21:00
63;2023-04-27 09:22:00
64;2023-04-27 09:23:00
66;2023-04-27 09:24:00
65;2023-04-27 09:25:00
67;2023-04-27 09:28:00
66;2023-04-27 09:30:00
68;2023-04-27 09:31:00
67;2023-04-27 09:33:00
66;2023-04-27 09:35:00
65;2023-04-27 09:37:00
63;2023-04-27 09:39:00
64;2023-04-27 09:42:00
69;2023-04-27 09:43:00
72;2023-04-27 09:45:00
73;2023-04-27 09:46:00
74;2023-04-27 09:48:00
73;2023-04-27 09:49:00
74;2023-04-27 09:50:00
76;2023-04-27 09:51:00
75;2023-04-27 09:53:00
77;2023-04-27 09:55:00
74;2023-04-27 09:56:00
75;2023-04-27 09:58:00
77;2023-04-27 09:59:00
78;2023-04-27 10:00:00
80;2023-04-27 10:01:00
82;2023-04-27 10:02:00
84;2023-04-27 10:04:00
86;2023-04-27 10:05:00
88;2023-04-27 10:07:00
91;2023-04-27 10:08:00
94;2023-04-27 10:10:00
93;2023-04-27 10:11:00
92;2023-04-27 10:12:00
91;2023-04-27 10:13:00
90;2023-04-27 10:15:00
91;2023-04-27 10:16:00
89;2023-04-27 10:18:00
90;2023-04-27 10:18:00
89;2023-04-27 10:21:00
91;2023-04-27 10:22:00
92;2023-04-27 10:24:00
94;2023-04-27 10:24:00
95;2023-04-27 10:27:00
96;2023-04-27 10:29:00
95;2023-04-27 10:32:00
96;2023-04-27 10:33:00
97;2023-04-27 10:35:00
96;2023-04-27 10:36:00
97;2023-04-27 10:41:00
96;2023-04-27 10:43:00
97;2023-04-27 10:45:00
98;2023-04-27 10:47:00
97;2023-04-27 10:49:00
96;2023-04-27 10:53:00
95;2023-04-27 10:56:00
96;2023-04-27 10:59:00
97;2023-04-27 11:01:00
99;2023-04-27 11:03:00
