aforo;hora
1;2023-05-22 06:09:00
2;2023-05-22 06:13:00
3;2023-05-22 06:14:00
4;2023-05-22 06:15:00
6;2023-05-22 06:19:00
7;2023-05-22 06:30:00
8;2023-05-22 06:36:00
9;2023-05-22 06:40:00
11;2023-05-22 06:50:00
13;2023-05-22 07:01:00
16;2023-05-22 07:03:00
17;2023-05-22 07:04:00
18;2023-05-22 07:20:00
19;2023-05-22 07:21:00
20;2023-05-22 07:24:00
21;2023-05-22 07:29:00
22;2023-05-22 07:43:00
23;2023-05-22 07:52:00
24;2023-05-22 07:53:00
25;2023-05-22 07:55:00
26;2023-05-22 07:57:00
27;2023-05-22 08:02:00
28;2023-05-22 08:03:00
31;2023-05-22 08:05:00
34;2023-05-22 08:07:00
35;2023-05-22 08:10:00
37;2023-05-22 08:11:00
38;2023-05-22 08:13:00
39;2023-05-22 08:15:00
40;2023-05-22 08:20:00
41;2023-05-22 08:25:00
43;2023-05-22 08:26:00
45;2023-05-22 08:27:00
46;2023-05-22 08:29:00
47;2023-05-22 08:31:00
48;2023-05-22 08:32:00
49;2023-05-22 08:36:00
51;2023-05-22 08:47:00
53;2023-05-22 08:53:00
55;2023-05-22 08:59:00
56;2023-05-22 09:01:00
58;2023-05-22 09:03:00
59;2023-05-22 09:05:00
60;2023-05-22 09:06:00
62;2023-05-22 09:08:00
65;2023-05-22 09:11:00
67;2023-05-22 09:12:00
69;2023-05-22 09:13:00
152;2023-05-22 12:41:00
153;2023-05-22 12:42:00
154;2023-05-22 12:44:00
155;2023-05-22 12:45:00
158;2023-05-22 12:48:00
160;2023-05-22 13:04:00
162;2023-05-22 13:12:00
163;2023-05-22 13:14:00
164;2023-05-22 13:17:00
165;2023-05-22 13:18:00
166;2023-05-22 13:19:00
168;2023-05-22 13:29:00
169;2023-05-22 13:34:00
171;2023-05-22 13:37:00
172;2023-05-22 13:42:00
173;2023-05-22 13:43:00
175;2023-05-22 13:45:00
174;2023-05-22 13:48:00
173;2023-05-22 13:50:00
171;2023-05-22 13:57:00
170;2023-05-22 13:59:00
169;2023-05-22 14:00:00
168;2023-05-22 14:04:00
167;2023-05-22 14:05:00
168;2023-05-22 14:12:00
169;2023-05-22 14:14:00
170;2023-05-22 14:15:00
173;2023-05-22 14:16:00
174;2023-05-22 14:17:00
173;2023-05-22 14:18:00
172;2023-05-22 14:19:00
171;2023-05-22 14:21:00
173;2023-05-22 14:22:00
174;2023-05-22 14:23:00
175;2023-05-22 14:24:00
174;2023-05-22 14:25:00
176;2023-05-22 14:26:00
175;2023-05-22 14:30:00
174;2023-05-22 14:35:00
175;2023-05-22 14:36:00
178;2023-05-22 14:39:00
179;2023-05-22 14:41:00
180;2023-05-22 14:42:00
181;2023-05-22 14:45:00
182;2023-05-22 14:46:00
183;2023-05-22 14:52:00
184;2023-05-22 14:53:00
185;2023-05-22 14:54:00
187;2023-05-22 14:57:00
188;2023-05-22 15:02:00
189;2023-05-22 15:03:00
190;2023-05-22 15:04:00
191;2023-05-22 15:06:00
190;2023-05-22 15:09:00
192;2023-05-22 15:13:00
193;2023-05-22 15:15:00
194;2023-05-22 15:16:00
196;2023-05-22 15:19:00
197;2023-05-22 15:25:00
199;2023-05-22 15:26:00
200;2023-05-22 15:27:00
201;2023-05-22 15:30:00
202;2023-05-22 15:31:00
203;2023-05-22 15:32:00
202;2023-05-22 15:35:00
201;2023-05-22 15:36:00
202;2023-05-22 15:37:00
203;2023-05-22 15:38:00
205;2023-05-22 15:42:00
206;2023-05-22 15:43:00
211;2023-05-22 15:44:00
214;2023-05-22 15:47:00
215;2023-05-22 15:47:00
220;2023-05-22 15:51:00
221;2023-05-22 15:52:00
225;2023-05-22 15:53:00
223;2023-05-22 15:55:00
224;2023-05-22 15:56:00
225;2023-05-22 15:57:00
226;2023-05-22 16:00:00
228;2023-05-22 16:01:00
229;2023-05-22 16:02:00
230;2023-05-22 16:03:00
232;2023-05-22 16:04:00
235;2023-05-22 16:05:00
237;2023-05-22 16:06:00
240;2023-05-22 16:10:00
241;2023-05-22 16:11:00
242;2023-05-22 16:15:00
243;2023-05-22 16:18:00
244;2023-05-22 16:20:00
247;2023-05-22 16:23:00
248;2023-05-22 16:26:00
250;2023-05-22 16:26:00
252;2023-05-22 16:30:00
253;2023-05-22 16:32:00
254;2023-05-22 16:35:00
