aforo;hora
96;2023-05-05 10:55:00
95;2023-05-05 10:56:00
97;2023-05-05 10:57:00
98;2023-05-05 10:59:00
102;2023-05-05 10:59:00
107;2023-05-05 11:01:00
106;2023-05-05 11:02:00
105;2023-05-05 11:03:00
106;2023-05-05 11:06:00
107;2023-05-05 11:07:00
105;2023-05-05 11:09:00
106;2023-05-05 11:09:00
103;2023-05-05 11:11:00
102;2023-05-05 11:13:00
99;2023-05-05 11:15:00
102;2023-05-05 11:17:00
101;2023-05-05 11:18:00
102;2023-05-05 11:19:00
101;2023-05-05 11:20:00
100;2023-05-05 11:22:00
102;2023-05-05 11:23:00
100;2023-05-05 11:25:00
99;2023-05-05 11:26:00
100;2023-05-05 11:27:00
102;2023-05-05 11:28:00
101;2023-05-05 11:31:00
103;2023-05-05 11:32:00
102;2023-05-05 11:32:00
101;2023-05-05 11:35:00
102;2023-05-05 11:37:00
103;2023-05-05 11:39:00
102;2023-05-05 11:42:00
103;2023-05-05 11:45:00
104;2023-05-05 11:46:00
105;2023-05-05 11:47:00
106;2023-05-05 11:49:00
105;2023-05-05 11:51:00
103;2023-05-05 11:54:00
104;2023-05-05 11:57:00
102;2023-05-05 11:58:00
103;2023-05-05 12:00:00
104;2023-05-05 12:01:00
102;2023-05-05 12:03:00
103;2023-05-05 12:04:00
105;2023-05-05 12:07:00
104;2023-05-05 12:09:00
105;2023-05-05 12:10:00
106;2023-05-05 12:11:00
102;2023-05-05 12:12:00
101;2023-05-05 12:13:00
98;2023-05-05 12:14:00
99;2023-05-05 12:17:00
98;2023-05-05 12:18:00
96;2023-05-05 12:20:00
95;2023-05-05 12:21:00
96;2023-05-05 12:23:00
93;2023-05-05 12:24:00
95;2023-05-05 12:26:00
98;2023-05-05 12:30:00
95;2023-05-05 12:31:00
93;2023-05-05 12:32:00
92;2023-05-05 12:33:00
93;2023-05-05 12:35:00
92;2023-05-05 12:35:00
93;2023-05-05 12:38:00
92;2023-05-05 12:39:00
94;2023-05-05 12:40:00
93;2023-05-05 12:42:00
92;2023-05-05 12:45:00
91;2023-05-05 12:47:00
90;2023-05-05 12:48:00
89;2023-05-05 12:51:00
91;2023-05-05 12:51:00
92;2023-05-05 12:56:00
93;2023-05-05 12:57:00
95;2023-05-05 13:00:00
96;2023-05-05 13:03:00
94;2023-05-05 13:04:00
92;2023-05-05 13:06:00
94;2023-05-05 13:08:00
96;2023-05-05 13:10:00
97;2023-05-05 13:12:00
99;2023-05-05 13:13:00
98;2023-05-05 13:16:00
99;2023-05-05 13:17:00
103;2023-05-05 13:18:00
104;2023-05-05 13:19:00
106;2023-05-05 13:20:00
104;2023-05-05 13:21:00
102;2023-05-05 13:22:00
104;2023-05-05 13:25:00
102;2023-05-05 13:27:00
103;2023-05-05 13:29:00
104;2023-05-05 13:30:00
103;2023-05-05 13:31:00
104;2023-05-05 13:33:00
103;2023-05-05 13:34:00
105;2023-05-05 13:36:00
104;2023-05-05 13:37:00
105;2023-05-05 13:41:00
107;2023-05-05 13:43:00
106;2023-05-05 13:44:00
107;2023-05-05 13:47:00
109;2023-05-05 13:48:00
110;2023-05-05 13:49:00
111;2023-05-05 13:51:00
113;2023-05-05 13:52:00
114;2023-05-05 13:53:00
115;2023-05-05 13:55:00
113;2023-05-05 13:57:00
111;2023-05-05 13:59:00
110;2023-05-05 14:01:00
111;2023-05-05 14:03:00
112;2023-05-05 14:03:00
109;2023-05-05 14:06:00
110;2023-05-05 14:07:00
109;2023-05-05 14:08:00
111;2023-05-05 14:10:00
112;2023-05-05 14:15:00
114;2023-05-05 14:17:00
116;2023-05-05 14:18:00
115;2023-05-05 14:20:00
114;2023-05-05 14:21:00
113;2023-05-05 14:24:00
111;2023-05-05 14:26:00
112;2023-05-05 14:27:00
111;2023-05-05 14:29:00
110;2023-05-05 14:30:00
111;2023-05-05 14:32:00
143;2023-05-05 17:46:00
145;2023-05-05 17:46:00
146;2023-05-05 17:47:00
144;2023-05-05 17:49:00
143;2023-05-05 17:54:00
142;2023-05-05 17:57:00
144;2023-05-05 17:58:00
146;2023-05-05 17:59:00
147;2023-05-05 18:00:00
146;2023-05-05 18:01:00
144;2023-05-05 18:02:00
146;2023-05-05 18:03:00
148;2023-05-05 18:05:00
149;2023-05-05 18:06:00
152;2023-05-05 18:06:00
155;2023-05-05 18:07:00
156;2023-05-05 18:09:00
157;2023-05-05 18:10:00
159;2023-05-05 18:12:00
157;2023-05-05 18:14:00
156;2023-05-05 18:17:00
155;2023-05-05 18:20:00
158;2023-05-05 18:21:00
157;2023-05-05 18:23:00
159;2023-05-05 18:24:00
155;2023-05-05 18:26:00
153;2023-05-05 18:27:00
150;2023-05-05 18:28:00
151;2023-05-05 18:29:00
153;2023-05-05 18:30:00
154;2023-05-05 18:32:00
153;2023-05-05 18:33:00
154;2023-05-05 18:34:00
158;2023-05-05 18:36:00
155;2023-05-05 18:37:00
164;2023-05-05 18:38:00
167;2023-05-05 18:41:00
169;2023-05-05 18:43:00
168;2023-05-05 18:45:00
167;2023-05-05 18:46:00
170;2023-05-05 18:48:00
169;2023-05-05 18:49:00
168;2023-05-05 18:51:00
172;2023-05-05 18:52:00
179;2023-05-05 18:53:00
178;2023-05-05 18:54:00
176;2023-05-05 18:55:00
175;2023-05-05 18:56:00
176;2023-05-05 18:57:00
175;2023-05-05 19:00:00
176;2023-05-05 19:01:00
174;2023-05-05 19:02:00
172;2023-05-05 19:04:00
175;2023-05-05 19:05:00
178;2023-05-05 19:06:00
175;2023-05-05 19:07:00
176;2023-05-05 19:11:00
174;2023-05-05 19:14:00
173;2023-05-05 19:16:00
172;2023-05-05 19:18:00
173;2023-05-05 19:19:00
172;2023-05-05 19:20:00
170;2023-05-05 19:21:00
165;2023-05-05 19:23:00
166;2023-05-05 19:26:00
169;2023-05-05 19:29:00
167;2023-05-05 19:32:00
165;2023-05-05 19:33:00
164;2023-05-05 19:38:00
163;2023-05-05 19:42:00
165;2023-05-05 19:43:00
166;2023-05-05 19:46:00
169;2023-05-05 19:47:00
168;2023-05-05 19:51:00
166;2023-05-05 19:54:00
168;2023-05-05 19:57:00
167;2023-05-05 19:59:00
164;2023-05-05 20:00:00
162;2023-05-05 20:03:00
161;2023-05-05 20:04:00
157;2023-05-05 20:07:00
158;2023-05-05 20:08:00
