aforo;hora
7;2023-05-27 09:07:00
8;2023-05-27 09:09:00
10;2023-05-27 09:12:00
12;2023-05-27 09:14:00
14;2023-05-27 09:18:00
15;2023-05-27 09:19:00
16;2023-05-27 09:21:00
17;2023-05-27 09:22:00
19;2023-05-27 09:26:00
20;2023-05-27 09:32:00
21;2023-05-27 09:33:00
23;2023-05-27 09:35:00
24;2023-05-27 09:38:00
25;2023-05-27 09:39:00
26;2023-05-27 09:41:00
27;2023-05-27 09:43:00
28;2023-05-27 09:46:00
29;2023-05-27 09:52:00
30;2023-05-27 09:54:00
32;2023-05-27 09:54:00
34;2023-05-27 09:55:00
36;2023-05-27 09:59:00
37;2023-05-27 10:02:00
38;2023-05-27 10:04:00
39;2023-05-27 10:05:00
41;2023-05-27 10:07:00
44;2023-05-27 10:11:00
45;2023-05-27 10:12:00
46;2023-05-27 10:15:00
47;2023-05-27 10:19:00
49;2023-05-27 10:19:00
50;2023-05-27 10:23:00
51;2023-05-27 10:24:00
53;2023-05-27 10:26:00
54;2023-05-27 10:27:00
55;2023-05-27 10:28:00
57;2023-05-27 10:29:00
58;2023-05-27 10:34:00
59;2023-05-27 10:35:00
61;2023-05-27 10:38:00
62;2023-05-27 10:39:00
64;2023-05-27 10:41:00
65;2023-05-27 10:42:00
66;2023-05-27 10:43:00
68;2023-05-27 10:46:00
69;2023-05-27 10:48:00
70;2023-05-27 10:49:00
71;2023-05-27 10:51:00
72;2023-05-27 10:52:00
73;2023-05-27 10:54:00
74;2023-05-27 10:55:00
78;2023-05-27 10:59:00
81;2023-05-27 11:01:00
83;2023-05-27 11:02:00
84;2023-05-27 11:04:00
85;2023-05-27 11:06:00
87;2023-05-27 11:07:00
88;2023-05-27 11:09:00
89;2023-05-27 11:10:00
92;2023-05-27 11:12:00
93;2023-05-27 11:13:00
94;2023-05-27 11:16:00
96;2023-05-27 11:17:00
98;2023-05-27 11:19:00
99;2023-05-27 11:20:00
101;2023-05-27 11:21:00
102;2023-05-27 11:22:00
103;2023-05-27 11:25:00
106;2023-05-27 11:26:00
107;2023-05-27 11:27:00
109;2023-05-27 11:28:00
111;2023-05-27 11:29:00
113;2023-05-27 11:30:00
118;2023-05-27 11:31:00
120;2023-05-27 11:32:00
124;2023-05-27 11:33:00
126;2023-05-27 11:34:00
127;2023-05-27 11:35:00
128;2023-05-27 11:37:00
129;2023-05-27 11:38:00
130;2023-05-27 11:39:00
131;2023-05-27 11:41:00
133;2023-05-27 11:46:00
134;2023-05-27 11:47:00
135;2023-05-27 11:51:00
136;2023-05-27 11:52:00
137;2023-05-27 11:58:00
138;2023-05-27 11:59:00
139;2023-05-27 12:02:00
140;2023-05-27 12:06:00
141;2023-05-27 12:07:00
142;2023-05-27 12:08:00
143;2023-05-27 12:10:00
144;2023-05-27 12:11:00
145;2023-05-27 12:12:00
146;2023-05-27 12:13:00
147;2023-05-27 12:15:00
148;2023-05-27 12:16:00
149;2023-05-27 12:19:00
150;2023-05-27 12:20:00
154;2023-05-27 12:22:00
158;2023-05-27 12:23:00
159;2023-05-27 12:24:00
160;2023-05-27 12:26:00
162;2023-05-27 12:31:00
164;2023-05-27 12:32:00
165;2023-05-27 12:35:00
167;2023-05-27 12:41:00
168;2023-05-27 12:42:00
169;2023-05-27 12:43:00
171;2023-05-27 12:49:00
172;2023-05-27 12:54:00
174;2023-05-27 12:55:00
175;2023-05-27 13:04:00
178;2023-05-27 13:09:00
181;2023-05-27 13:13:00
182;2023-05-27 13:14:00
184;2023-05-27 13:16:00
185;2023-05-27 13:18:00
186;2023-05-27 13:19:00
187;2023-05-27 13:28:00
188;2023-05-27 13:36:00
189;2023-05-27 13:37:00
190;2023-05-27 13:43:00
191;2023-05-27 13:45:00
192;2023-05-27 13:52:00
194;2023-05-27 13:58:00
196;2023-05-27 13:59:00
197;2023-05-27 14:01:00
199;2023-05-27 14:03:00
200;2023-05-27 14:04:00
201;2023-05-27 14:05:00
202;2023-05-27 14:15:00
204;2023-05-27 14:35:00
207;2023-05-27 14:36:00
209;2023-05-27 14:42:00
210;2023-05-27 14:43:00
211;2023-05-27 14:44:00
214;2023-05-27 14:46:00
215;2023-05-27 14:47:00
216;2023-05-27 14:52:00
218;2023-05-27 14:54:00
219;2023-05-27 15:03:00
220;2023-05-27 15:06:00
222;2023-05-27 15:14:00
224;2023-05-27 15:16:00
225;2023-05-27 15:17:00
226;2023-05-27 15:19:00
227;2023-05-27 15:26:00
228;2023-05-27 15:32:00
231;2023-05-27 15:35:00
234;2023-05-27 15:47:00
235;2023-05-27 15:54:00
236;2023-05-27 15:55:00
238;2023-05-27 16:09:00
239;2023-05-27 16:11:00
240;2023-05-27 16:12:00
241;2023-05-27 16:13:00
242;2023-05-27 16:15:00
243;2023-05-27 16:16:00
245;2023-05-27 16:20:00
246;2023-05-27 16:22:00
247;2023-05-27 16:23:00
248;2023-05-27 16:24:00
249;2023-05-27 16:26:00
250;2023-05-27 16:27:00
251;2023-05-27 16:29:00
252;2023-05-27 16:33:00
255;2023-05-27 16:34:00
257;2023-05-27 16:35:00
260;2023-05-27 16:37:00
261;2023-05-27 16:38:00
262;2023-05-27 16:40:00
263;2023-05-27 16:41:00
264;2023-05-27 16:45:00
267;2023-05-27 16:48:00
268;2023-05-27 16:55:00
270;2023-05-27 16:58:00
273;2023-05-27 17:01:00
274;2023-05-27 17:10:00
276;2023-05-27 17:12:00
277;2023-05-27 17:13:00
278;2023-05-27 17:17:00
280;2023-05-27 17:22:00
281;2023-05-27 17:27:00
282;2023-05-27 17:29:00
284;2023-05-27 17:30:00
285;2023-05-27 17:32:00
286;2023-05-27 17:34:00
287;2023-05-27 17:35:00
288;2023-05-27 17:39:00
289;2023-05-27 17:47:00
