aforo;hora
84;2023-04-29 11:27:00
91;2023-04-29 11:28:00
93;2023-04-29 11:29:00
94;2023-04-29 11:30:00
96;2023-04-29 11:32:00
97;2023-04-29 11:33:00
98;2023-04-29 11:36:00
100;2023-04-29 11:37:00
102;2023-04-29 11:38:00
105;2023-04-29 11:40:00
103;2023-04-29 11:41:00
102;2023-04-29 11:42:00
103;2023-04-29 11:43:00
102;2023-04-29 11:44:00
106;2023-04-29 11:46:00
107;2023-04-29 11:47:00
110;2023-04-29 11:48:00
112;2023-04-29 11:49:00
111;2023-04-29 11:50:00
112;2023-04-29 11:51:00
114;2023-04-29 11:53:00
113;2023-04-29 11:54:00
110;2023-04-29 11:55:00
111;2023-04-29 11:56:00
114;2023-04-29 11:58:00
112;2023-04-29 11:59:00
115;2023-04-29 12:02:00
113;2023-04-29 12:04:00
109;2023-04-29 12:06:00
106;2023-04-29 12:06:00
105;2023-04-29 12:09:00
103;2023-04-29 12:11:00
102;2023-04-29 12:12:00
100;2023-04-29 12:13:00
98;2023-04-29 12:14:00
97;2023-04-29 12:16:00
98;2023-04-29 12:17:00
99;2023-04-29 12:21:00
103;2023-04-29 12:24:00
102;2023-04-29 12:25:00
101;2023-04-29 12:28:00
100;2023-04-29 12:29:00
101;2023-04-29 12:30:00
100;2023-04-29 12:31:00
99;2023-04-29 12:33:00
96;2023-04-29 12:34:00
87;2023-04-29 12:35:00
85;2023-04-29 12:36:00
84;2023-04-29 12:37:00
83;2023-04-29 12:38:00
80;2023-04-29 12:41:00
78;2023-04-29 12:42:00
81;2023-04-29 12:43:00
83;2023-04-29 12:45:00
87;2023-04-29 12:46:00
85;2023-04-29 12:47:00
84;2023-04-29 12:49:00
82;2023-04-29 12:51:00
81;2023-04-29 12:52:00
82;2023-04-29 12:54:00
83;2023-04-29 12:55:00
86;2023-04-29 12:56:00
84;2023-04-29 12:59:00
83;2023-04-29 13:02:00
82;2023-04-29 13:03:00
81;2023-04-29 13:04:00
80;2023-04-29 13:06:00
79;2023-04-29 13:08:00
77;2023-04-29 13:10:00
76;2023-04-29 13:11:00
77;2023-04-29 13:13:00
76;2023-04-29 13:14:00
79;2023-04-29 13:16:00
78;2023-04-29 13:18:00
77;2023-04-29 13:20:00
76;2023-04-29 13:22:00
77;2023-04-29 13:25:00
76;2023-04-29 13:26:00
75;2023-04-29 13:28:00
73;2023-04-29 13:31:00
74;2023-04-29 13:32:00
73;2023-04-29 13:33:00
75;2023-04-29 13:34:00
76;2023-04-29 13:36:00
74;2023-04-29 13:38:00
75;2023-04-29 13:39:00
72;2023-04-29 13:40:00
70;2023-04-29 13:41:00
69;2023-04-29 13:43:00
68;2023-04-29 13:45:00
66;2023-04-29 13:47:00
65;2023-04-29 13:50:00
63;2023-04-29 13:51:00
60;2023-04-29 13:52:00
58;2023-04-29 13:54:00
56;2023-04-29 13:55:00
55;2023-04-29 13:56:00
54;2023-04-29 13:59:00
53;2023-04-29 14:01:00
55;2023-04-29 14:02:00
56;2023-04-29 14:03:00
53;2023-04-29 14:04:00
52;2023-04-29 14:06:00
53;2023-04-29 14:13:00
52;2023-04-29 14:17:00
50;2023-04-29 14:18:00
49;2023-04-29 14:19:00
51;2023-04-29 14:20:00
52;2023-04-29 14:23:00
53;2023-04-29 14:25:00
