aforo;hora
90;2023-04-26 08:55:00
91;2023-04-26 08:55:00
89;2023-04-26 08:57:00
86;2023-04-26 08:58:00
87;2023-04-26 09:00:00
86;2023-04-26 09:02:00
87;2023-04-26 09:03:00
88;2023-04-26 09:04:00
89;2023-04-26 09:07:00
87;2023-04-26 09:08:00
90;2023-04-26 09:09:00
91;2023-04-26 09:11:00
93;2023-04-26 09:12:00
92;2023-04-26 09:13:00
93;2023-04-26 09:15:00
95;2023-04-26 09:16:00
93;2023-04-26 09:17:00
94;2023-04-26 09:19:00
95;2023-04-26 09:20:00
97;2023-04-26 09:21:00
95;2023-04-26 09:24:00
96;2023-04-26 09:24:00
98;2023-04-26 09:26:00
97;2023-04-26 09:27:00
100;2023-04-26 09:28:00
102;2023-04-26 09:28:00
101;2023-04-26 09:30:00
104;2023-04-26 09:31:00
103;2023-04-26 09:32:00
104;2023-04-26 09:33:00
103;2023-04-26 09:34:00
101;2023-04-26 09:39:00
97;2023-04-26 09:41:00
100;2023-04-26 09:41:00
101;2023-04-26 09:42:00
103;2023-04-26 09:46:00
106;2023-04-26 09:48:00
107;2023-04-26 09:48:00
106;2023-04-26 09:50:00
108;2023-04-26 09:51:00
111;2023-04-26 09:52:00
110;2023-04-26 09:54:00
112;2023-04-26 09:56:00
115;2023-04-26 09:59:00
116;2023-04-26 09:59:00
118;2023-04-26 10:01:00
119;2023-04-26 10:02:00
118;2023-04-26 10:04:00
114;2023-04-26 10:04:00
112;2023-04-26 10:06:00
111;2023-04-26 10:08:00
112;2023-04-26 10:10:00
111;2023-04-26 10:13:00
110;2023-04-26 10:17:00
111;2023-04-26 10:19:00
110;2023-04-26 10:21:00
108;2023-04-26 10:25:00
110;2023-04-26 10:27:00
111;2023-04-26 10:28:00
109;2023-04-26 10:30:00
108;2023-04-26 10:31:00
109;2023-04-26 10:31:00
110;2023-04-26 10:32:00
107;2023-04-26 10:33:00
108;2023-04-26 10:34:00
105;2023-04-26 10:37:00
103;2023-04-26 10:37:00
101;2023-04-26 10:38:00
104;2023-04-26 10:39:00
103;2023-04-26 10:40:00
100;2023-04-26 10:41:00
98;2023-04-26 10:42:00
95;2023-04-26 10:43:00
96;2023-04-26 10:44:00
94;2023-04-26 10:46:00
92;2023-04-26 10:46:00
88;2023-04-26 10:48:00
84;2023-04-26 10:49:00
83;2023-04-26 10:51:00
84;2023-04-26 10:53:00
83;2023-04-26 10:55:00
82;2023-04-26 10:56:00
81;2023-04-26 10:57:00
82;2023-04-26 10:58:00
81;2023-04-26 10:59:00
80;2023-04-26 11:01:00
78;2023-04-26 11:05:00
80;2023-04-26 11:06:00
83;2023-04-26 11:07:00
81;2023-04-26 11:08:00
78;2023-04-26 11:10:00
76;2023-04-26 11:11:00
74;2023-04-26 11:13:00
75;2023-04-26 11:14:00
74;2023-04-26 11:16:00
72;2023-04-26 11:21:00
70;2023-04-26 11:22:00
71;2023-04-26 11:23:00
70;2023-04-26 11:24:00
71;2023-04-26 11:25:00
70;2023-04-26 11:27:00
68;2023-04-26 11:28:00
67;2023-04-26 11:29:00
66;2023-04-26 11:30:00
63;2023-04-26 11:31:00
65;2023-04-26 11:32:00
64;2023-04-26 11:33:00
63;2023-04-26 11:41:00
64;2023-04-26 11:42:00
63;2023-04-26 11:45:00
64;2023-04-26 11:47:00
66;2023-04-26 11:56:00
65;2023-04-26 11:58:00
63;2023-04-26 11:59:00
61;2023-04-26 12:01:00
59;2023-04-26 12:02:00
58;2023-04-26 12:03:00
61;2023-04-26 12:08:00
60;2023-04-26 12:10:00
57;2023-04-26 12:12:00
56;2023-04-26 12:13:00
55;2023-04-26 12:15:00
54;2023-04-26 12:17:00
53;2023-04-26 12:20:00
55;2023-04-26 12:22:00
56;2023-04-26 12:25:00
55;2023-04-26 12:29:00
58;2023-04-26 12:31:00
59;2023-04-26 12:33:00
58;2023-04-26 12:36:00
59;2023-04-26 12:37:00
60;2023-04-26 12:39:00
61;2023-04-26 12:42:00
60;2023-04-26 12:43:00
59;2023-04-26 12:44:00
60;2023-04-26 12:46:00
58;2023-04-26 12:47:00
57;2023-04-26 12:48:00
56;2023-04-26 12:50:00
57;2023-04-26 12:52:00
55;2023-04-26 12:58:00
58;2023-04-26 13:00:00
60;2023-04-26 13:02:00
61;2023-04-26 13:02:00
63;2023-04-26 13:04:00
65;2023-04-26 13:05:00
68;2023-04-26 13:11:00
69;2023-04-26 13:14:00
68;2023-04-26 13:15:00
55;2023-04-26 14:47:00
58;2023-04-26 14:50:00
57;2023-04-26 14:52:00
58;2023-04-26 14:55:00
56;2023-04-26 14:56:00
57;2023-04-26 14:58:00
58;2023-04-26 15:02:00
57;2023-04-26 15:03:00
56;2023-04-26 15:05:00
57;2023-04-26 15:06:00
55;2023-04-26 15:08:00
56;2023-04-26 15:09:00
58;2023-04-26 15:10:00
59;2023-04-26 15:11:00
58;2023-04-26 15:12:00
57;2023-04-26 15:14:00
56;2023-04-26 15:16:00
55;2023-04-26 15:17:00
54;2023-04-26 15:20:00
55;2023-04-26 15:24:00
54;2023-04-26 15:27:00
58;2023-04-26 15:28:00
57;2023-04-26 15:29:00
58;2023-04-26 15:33:00
60;2023-04-26 15:35:00
61;2023-04-26 15:37:00
62;2023-04-26 15:41:00
60;2023-04-26 15:43:00
65;2023-04-26 15:45:00
67;2023-04-26 15:49:00
97;2023-04-26 17:04:00
100;2023-04-26 17:06:00
102;2023-04-26 17:10:00
100;2023-04-26 17:11:00
102;2023-04-26 17:14:00
101;2023-04-26 17:15:00
98;2023-04-26 17:16:00
99;2023-04-26 17:18:00
100;2023-04-26 17:19:00
177;2023-04-26 20:30:00
180;2023-04-26 20:31:00
183;2023-04-26 20:34:00
181;2023-04-26 20:36:00
180;2023-04-26 20:39:00
179;2023-04-26 20:41:00
174;2023-04-26 20:43:00
172;2023-04-26 20:45:00
174;2023-04-26 20:46:00
175;2023-04-26 20:47:00
173;2023-04-26 20:48:00
174;2023-04-26 20:51:00
175;2023-04-26 20:52:00
176;2023-04-26 20:53:00
174;2023-04-26 20:54:00
172;2023-04-26 20:56:00
170;2023-04-26 20:57:00
164;2023-04-26 20:59:00
159;2023-04-26 20:59:00
162;2023-04-26 21:01:00
161;2023-04-26 21:03:00
164;2023-04-26 21:05:00
166;2023-04-26 21:06:00
167;2023-04-26 21:10:00
163;2023-04-26 21:12:00
162;2023-04-26 21:13:00
161;2023-04-26 21:15:00
157;2023-04-26 21:17:00
156;2023-04-26 21:19:00
155;2023-04-26 21:21:00
156;2023-04-26 21:22:00
154;2023-04-26 21:23:00
156;2023-04-26 21:25:00
160;2023-04-26 21:26:00
162;2023-04-26 21:27:00
164;2023-04-26 21:31:00
162;2023-04-26 21:32:00
159;2023-04-26 21:33:00
154;2023-04-26 21:35:00
155;2023-04-26 21:36:00
153;2023-04-26 21:38:00
150;2023-04-26 21:39:00
148;2023-04-26 21:40:00
147;2023-04-26 21:43:00
146;2023-04-26 21:47:00
145;2023-04-26 21:48:00
144;2023-04-26 21:51:00
142;2023-04-26 21:54:00
141;2023-04-26 21:55:00
139;2023-04-26 21:57:00
138;2023-04-26 21:58:00
135;2023-04-26 22:01:00
133;2023-04-26 22:04:00
