aforo;hora
2;2023-05-23 06:01:00
3;2023-05-23 06:02:00
7;2023-05-23 06:03:00
10;2023-05-23 06:05:00
11;2023-05-23 06:06:00
12;2023-05-23 06:07:00
13;2023-05-23 06:09:00
14;2023-05-23 06:11:00
16;2023-05-23 06:14:00
20;2023-05-23 06:15:00
22;2023-05-23 06:16:00
24;2023-05-23 06:19:00
28;2023-05-23 06:26:00
29;2023-05-23 06:27:00
30;2023-05-23 06:28:00
31;2023-05-23 06:29:00
33;2023-05-23 06:31:00
35;2023-05-23 06:33:00
37;2023-05-23 06:34:00
39;2023-05-23 06:37:00
40;2023-05-23 06:42:00
41;2023-05-23 06:46:00
42;2023-05-23 06:47:00
43;2023-05-23 06:48:00
44;2023-05-23 06:49:00
46;2023-05-23 06:53:00
48;2023-05-23 06:56:00
49;2023-05-23 06:57:00
53;2023-05-23 07:02:00
55;2023-05-23 07:03:00
56;2023-05-23 07:04:00
57;2023-05-23 07:07:00
58;2023-05-23 07:12:00
59;2023-05-23 07:14:00
60;2023-05-23 07:16:00
61;2023-05-23 07:27:00
62;2023-05-23 07:29:00
65;2023-05-23 07:30:00
64;2023-05-23 07:35:00
65;2023-05-23 07:36:00
66;2023-05-23 07:37:00
67;2023-05-23 07:41:00
68;2023-05-23 07:44:00
70;2023-05-23 07:45:00
69;2023-05-23 07:46:00
70;2023-05-23 07:49:00
72;2023-05-23 07:50:00
73;2023-05-23 07:51:00
75;2023-05-23 07:52:00
77;2023-05-23 07:58:00
78;2023-05-23 08:00:00
77;2023-05-23 08:01:00
79;2023-05-23 08:06:00
82;2023-05-23 08:09:00
83;2023-05-23 08:10:00
84;2023-05-23 08:12:00
85;2023-05-23 08:14:00
87;2023-05-23 08:15:00
88;2023-05-23 08:16:00
89;2023-05-23 08:19:00
90;2023-05-23 08:20:00
92;2023-05-23 08:21:00
94;2023-05-23 08:25:00
93;2023-05-23 08:26:00
94;2023-05-23 08:29:00
96;2023-05-23 08:30:00
95;2023-05-23 08:34:00
96;2023-05-23 08:36:00
95;2023-05-23 08:38:00
97;2023-05-23 08:42:00
98;2023-05-23 08:45:00
99;2023-05-23 08:47:00
101;2023-05-23 08:49:00
100;2023-05-23 08:53:00
101;2023-05-23 08:54:00
102;2023-05-23 08:56:00
104;2023-05-23 08:59:00
105;2023-05-23 09:01:00
106;2023-05-23 09:02:00
107;2023-05-23 09:03:00
110;2023-05-23 09:04:00
112;2023-05-23 09:05:00
111;2023-05-23 09:09:00
112;2023-05-23 09:10:00
113;2023-05-23 09:12:00
115;2023-05-23 09:19:00
116;2023-05-23 09:20:00
117;2023-05-23 09:21:00
119;2023-05-23 09:22:00
120;2023-05-23 09:26:00
122;2023-05-23 09:28:00
124;2023-05-23 09:31:00
126;2023-05-23 09:34:00
128;2023-05-23 09:36:00
129;2023-05-23 09:37:00
130;2023-05-23 09:41:00
131;2023-05-23 09:41:00
132;2023-05-23 09:42:00
137;2023-05-23 09:44:00
138;2023-05-23 09:46:00
140;2023-05-23 09:47:00
142;2023-05-23 09:49:00
148;2023-05-23 09:50:00
149;2023-05-23 09:53:00
148;2023-05-23 09:54:00
149;2023-05-23 09:55:00
150;2023-05-23 09:56:00
151;2023-05-23 09:57:00
153;2023-05-23 10:02:00
154;2023-05-23 10:02:00
156;2023-05-23 10:03:00
158;2023-05-23 10:04:00
159;2023-05-23 10:05:00
164;2023-05-23 10:07:00
165;2023-05-23 10:08:00
166;2023-05-23 10:12:00
169;2023-05-23 10:14:00
170;2023-05-23 10:16:00
171;2023-05-23 10:17:00
173;2023-05-23 10:18:00
174;2023-05-23 10:21:00
175;2023-05-23 10:22:00
176;2023-05-23 10:25:00
177;2023-05-23 10:27:00
178;2023-05-23 10:28:00
179;2023-05-23 10:33:00
178;2023-05-23 10:34:00
179;2023-05-23 10:37:00
180;2023-05-23 10:40:00
181;2023-05-23 10:41:00
182;2023-05-23 10:43:00
185;2023-05-23 10:47:00
186;2023-05-23 10:48:00
185;2023-05-23 10:52:00
186;2023-05-23 10:54:00
188;2023-05-23 10:55:00
190;2023-05-23 10:57:00
191;2023-05-23 10:59:00
192;2023-05-23 11:00:00
193;2023-05-23 11:01:00
192;2023-05-23 11:02:00
193;2023-05-23 11:04:00
194;2023-05-23 11:09:00
195;2023-05-23 11:12:00
196;2023-05-23 11:14:00
195;2023-05-23 11:15:00
194;2023-05-23 11:18:00
195;2023-05-23 11:20:00
196;2023-05-23 11:21:00
197;2023-05-23 11:22:00
196;2023-05-23 11:24:00
198;2023-05-23 11:25:00
199;2023-05-23 11:26:00
201;2023-05-23 11:28:00
202;2023-05-23 11:29:00
204;2023-05-23 11:30:00
205;2023-05-23 11:31:00
206;2023-05-23 11:33:00
208;2023-05-23 11:36:00
210;2023-05-23 11:37:00
211;2023-05-23 11:39:00
213;2023-05-23 11:42:00
218;2023-05-23 11:43:00
220;2023-05-23 11:44:00
221;2023-05-23 11:49:00
222;2023-05-23 11:50:00
224;2023-05-23 11:52:00
225;2023-05-23 11:54:00
226;2023-05-23 11:55:00
228;2023-05-23 11:56:00
229;2023-05-23 11:57:00
231;2023-05-23 11:58:00
232;2023-05-23 12:02:00
233;2023-05-23 12:03:00
234;2023-05-23 12:05:00
233;2023-05-23 12:06:00
234;2023-05-23 12:08:00
235;2023-05-23 12:10:00
236;2023-05-23 12:16:00
237;2023-05-23 12:17:00
238;2023-05-23 12:21:00
241;2023-05-23 12:25:00
242;2023-05-23 12:28:00
243;2023-05-23 12:31:00
244;2023-05-23 12:32:00
245;2023-05-23 12:33:00
246;2023-05-23 12:34:00
248;2023-05-23 12:36:00
247;2023-05-23 12:36:00
246;2023-05-23 12:37:00
251;2023-05-23 12:40:00
252;2023-05-23 12:41:00
253;2023-05-23 12:44:00
254;2023-05-23 12:45:00
253;2023-05-23 12:47:00
254;2023-05-23 12:49:00
255;2023-05-23 12:51:00
254;2023-05-23 12:52:00
255;2023-05-23 12:54:00
254;2023-05-23 12:55:00
255;2023-05-23 12:56:00
253;2023-05-23 12:57:00
252;2023-05-23 12:57:00
251;2023-05-23 12:59:00
252;2023-05-23 13:00:00
253;2023-05-23 13:01:00
252;2023-05-23 13:02:00
253;2023-05-23 13:03:00
