aforo;hora
1;2023-05-24 06:01:00
2;2023-05-24 06:02:00
5;2023-05-24 06:05:00
6;2023-05-24 06:06:00
7;2023-05-24 06:07:00
8;2023-05-24 06:08:00
9;2023-05-24 06:10:00
10;2023-05-24 06:11:00
11;2023-05-24 06:17:00
12;2023-05-24 06:20:00
13;2023-05-24 06:21:00
14;2023-05-24 06:23:00
15;2023-05-24 06:25:00
16;2023-05-24 06:26:00
19;2023-05-24 06:27:00
21;2023-05-24 06:29:00
22;2023-05-24 06:31:00
24;2023-05-24 06:31:00
25;2023-05-24 06:41:00
28;2023-05-24 06:44:00
30;2023-05-24 06:45:00
31;2023-05-24 06:46:00
33;2023-05-24 06:52:00
36;2023-05-24 06:55:00
38;2023-05-24 07:00:00
40;2023-05-24 07:01:00
41;2023-05-24 07:03:00
44;2023-05-24 07:05:00
45;2023-05-24 07:06:00
46;2023-05-24 07:07:00
47;2023-05-24 07:10:00
48;2023-05-24 07:11:00
49;2023-05-24 07:12:00
50;2023-05-24 07:13:00
52;2023-05-24 07:16:00
53;2023-05-24 07:17:00
54;2023-05-24 07:18:00
55;2023-05-24 07:26:00
56;2023-05-24 07:27:00
57;2023-05-24 07:28:00
58;2023-05-24 07:31:00
60;2023-05-24 07:32:00
61;2023-05-24 07:33:00
63;2023-05-24 07:38:00
64;2023-05-24 07:40:00
65;2023-05-24 07:42:00
66;2023-05-24 07:43:00
67;2023-05-24 07:47:00
69;2023-05-24 07:51:00
71;2023-05-24 07:52:00
73;2023-05-24 07:53:00
74;2023-05-24 07:54:00
75;2023-05-24 07:56:00
77;2023-05-24 07:56:00
80;2023-05-24 08:02:00
85;2023-05-24 08:03:00
87;2023-05-24 08:04:00
88;2023-05-24 08:06:00
89;2023-05-24 08:07:00
90;2023-05-24 08:08:00
93;2023-05-24 08:10:00
97;2023-05-24 08:11:00
101;2023-05-24 08:15:00
102;2023-05-24 08:16:00
104;2023-05-24 08:17:00
105;2023-05-24 08:19:00
106;2023-05-24 08:20:00
109;2023-05-24 08:21:00
110;2023-05-24 08:27:00
111;2023-05-24 08:28:00
113;2023-05-24 08:34:00
114;2023-05-24 08:36:00
115;2023-05-24 08:37:00
118;2023-05-24 08:39:00
120;2023-05-24 08:42:00
121;2023-05-24 08:43:00
123;2023-05-24 08:45:00
124;2023-05-24 08:48:00
125;2023-05-24 08:51:00
126;2023-05-24 08:52:00
127;2023-05-24 08:55:00
128;2023-05-24 08:56:00
129;2023-05-24 08:57:00
132;2023-05-24 09:00:00
134;2023-05-24 09:01:00
136;2023-05-24 09:02:00
137;2023-05-24 09:03:00
138;2023-05-24 09:06:00
139;2023-05-24 09:07:00
140;2023-05-24 09:09:00
143;2023-05-24 09:10:00
144;2023-05-24 09:11:00
146;2023-05-24 09:13:00
148;2023-05-24 09:15:00
149;2023-05-24 09:16:00
150;2023-05-24 09:17:00
151;2023-05-24 09:21:00
153;2023-05-24 09:22:00
154;2023-05-24 09:25:00
156;2023-05-24 09:26:00
157;2023-05-24 09:27:00
158;2023-05-24 09:28:00
160;2023-05-24 09:32:00
161;2023-05-24 09:33:00
163;2023-05-24 09:37:00
164;2023-05-24 09:39:00
165;2023-05-24 09:41:00
166;2023-05-24 09:45:00
167;2023-05-24 09:49:00
169;2023-05-24 09:56:00
170;2023-05-24 09:57:00
171;2023-05-24 09:59:00
172;2023-05-24 10:01:00
174;2023-05-24 10:05:00
176;2023-05-24 10:08:00
177;2023-05-24 10:10:00
178;2023-05-24 10:12:00
179;2023-05-24 10:16:00
181;2023-05-24 10:17:00
182;2023-05-24 10:18:00
183;2023-05-24 10:21:00
184;2023-05-24 10:22:00
185;2023-05-24 10:25:00
186;2023-05-24 10:30:00
187;2023-05-24 10:36:00
188;2023-05-24 10:41:00
189;2023-05-24 10:43:00
192;2023-05-24 10:47:00
193;2023-05-24 10:49:00
194;2023-05-24 10:57:00
195;2023-05-24 10:59:00
197;2023-05-24 11:04:00
198;2023-05-24 11:07:00
199;2023-05-24 11:08:00
200;2023-05-24 11:09:00
201;2023-05-24 11:11:00
202;2023-05-24 11:13:00
204;2023-05-24 11:14:00
208;2023-05-24 11:15:00
209;2023-05-24 11:19:00
210;2023-05-24 11:22:00
211;2023-05-24 11:25:00
212;2023-05-24 11:31:00
213;2023-05-24 11:37:00
214;2023-05-24 11:45:00
215;2023-05-24 11:47:00
216;2023-05-24 11:51:00
217;2023-05-24 11:52:00
219;2023-05-24 11:56:00
221;2023-05-24 12:01:00
222;2023-05-24 12:08:00
223;2023-05-24 12:09:00
225;2023-05-24 12:18:00
227;2023-05-24 12:19:00
228;2023-05-24 12:23:00
229;2023-05-24 12:29:00
230;2023-05-24 12:30:00
232;2023-05-24 12:31:00
233;2023-05-24 12:35:00
234;2023-05-24 12:37:00
236;2023-05-24 12:46:00
237;2023-05-24 12:49:00
238;2023-05-24 12:51:00
239;2023-05-24 12:53:00
240;2023-05-24 12:56:00
241;2023-05-24 12:58:00
243;2023-05-24 13:01:00
244;2023-05-24 13:02:00
246;2023-05-24 13:03:00
248;2023-05-24 13:05:00
249;2023-05-24 13:06:00
250;2023-05-24 13:09:00
251;2023-05-24 13:10:00
252;2023-05-24 13:13:00
253;2023-05-24 13:16:00
256;2023-05-24 13:18:00
258;2023-05-24 13:19:00
259;2023-05-24 13:20:00
260;2023-05-24 13:21:00
261;2023-05-24 13:26:00
264;2023-05-24 13:30:00
265;2023-05-24 13:36:00
266;2023-05-24 13:40:00
267;2023-05-24 13:41:00
268;2023-05-24 13:43:00
269;2023-05-24 13:47:00
270;2023-05-24 13:54:00
271;2023-05-24 13:56:00
272;2023-05-24 14:03:00
273;2023-05-24 14:04:00
274;2023-05-24 14:09:00
275;2023-05-24 14:11:00
276;2023-05-24 14:14:00
277;2023-05-24 14:18:00
278;2023-05-24 14:19:00
279;2023-05-24 14:21:00
280;2023-05-24 14:24:00
282;2023-05-24 14:26:00
283;2023-05-24 14:30:00
