aforo;hora
112;2023-04-28 09:28:00
113;2023-04-28 09:30:00
112;2023-04-28 09:33:00
110;2023-04-28 09:35:00
109;2023-04-28 09:36:00
110;2023-04-28 09:38:00
113;2023-04-28 09:39:00
112;2023-04-28 09:40:00
113;2023-04-28 09:41:00
114;2023-04-28 09:43:00
111;2023-04-28 09:44:00
109;2023-04-28 09:46:00
111;2023-04-28 09:48:00
112;2023-04-28 09:51:00
113;2023-04-28 09:52:00
112;2023-04-28 09:53:00
115;2023-04-28 09:54:00
113;2023-04-28 09:55:00
114;2023-04-28 09:58:00
115;2023-04-28 09:59:00
112;2023-04-28 10:00:00
111;2023-04-28 10:03:00
110;2023-04-28 10:04:00
113;2023-04-28 10:05:00
112;2023-04-28 10:06:00
113;2023-04-28 10:08:00
114;2023-04-28 10:09:00
116;2023-04-28 10:10:00
115;2023-04-28 10:13:00
110;2023-04-28 10:15:00
107;2023-04-28 10:16:00
106;2023-04-28 10:18:00
104;2023-04-28 10:21:00
103;2023-04-28 10:22:00
101;2023-04-28 10:24:00
99;2023-04-28 10:25:00
98;2023-04-28 10:27:00
99;2023-04-28 10:30:00
95;2023-04-28 10:32:00
93;2023-04-28 10:33:00
92;2023-04-28 10:34:00
91;2023-04-28 10:36:00
88;2023-04-28 10:37:00
87;2023-04-28 10:38:00
88;2023-04-28 10:40:00
87;2023-04-28 10:44:00
89;2023-04-28 10:45:00
87;2023-04-28 10:48:00
88;2023-04-28 10:49:00
92;2023-04-28 10:51:00
91;2023-04-28 10:54:00
92;2023-04-28 10:56:00
94;2023-04-28 10:57:00
96;2023-04-28 10:59:00
89;2023-04-28 11:02:00
86;2023-04-28 11:03:00
87;2023-04-28 11:05:00
86;2023-04-28 11:06:00
83;2023-04-28 11:08:00
84;2023-04-28 11:08:00
85;2023-04-28 11:10:00
82;2023-04-28 11:10:00
83;2023-04-28 11:12:00
82;2023-04-28 11:13:00
81;2023-04-28 11:14:00
82;2023-04-28 11:15:00
83;2023-04-28 11:17:00
84;2023-04-28 11:19:00
79;2023-04-28 11:20:00
80;2023-04-28 11:21:00
79;2023-04-28 11:22:00
76;2023-04-28 11:24:00
77;2023-04-28 11:29:00
76;2023-04-28 11:32:00
77;2023-04-28 11:33:00
79;2023-04-28 11:34:00
80;2023-04-28 11:38:00
82;2023-04-28 11:40:00
80;2023-04-28 11:41:00
79;2023-04-28 11:43:00
82;2023-04-28 11:45:00
81;2023-04-28 11:46:00
77;2023-04-28 11:48:00
103;2023-04-28 22:02:00
102;2023-04-28 22:02:00
103;2023-04-28 22:04:00
104;2023-04-28 22:06:00
103;2023-04-28 22:11:00
104;2023-04-28 22:14:00
103;2023-04-28 22:16:00
102;2023-04-28 22:17:00
101;2023-04-28 22:19:00
102;2023-04-28 22:20:00
103;2023-04-28 22:21:00
104;2023-04-28 22:24:00
103;2023-04-28 22:25:00
102;2023-04-28 22:29:00
103;2023-04-28 22:30:00
102;2023-04-28 22:32:00
101;2023-04-28 22:35:00
100;2023-04-28 22:42:00
99;2023-04-28 22:45:00
96;2023-04-28 22:46:00
95;2023-04-28 22:49:00
94;2023-04-28 22:50:00
93;2023-04-28 22:51:00
92;2023-04-28 22:54:00
91;2023-04-28 22:55:00
90;2023-04-28 22:56:00
88;2023-04-28 22:57:00
85;2023-04-28 23:00:00
84;2023-04-28 23:00:00
80;2023-04-28 23:02:00
79;2023-04-28 23:03:00
78;2023-04-28 23:05:00
77;2023-04-28 23:07:00
