aforo;hora
1;2023-05-25 05:58:00
2;2023-05-25 06:00:00
3;2023-05-25 06:02:00
4;2023-05-25 06:04:00
6;2023-05-25 06:05:00
7;2023-05-25 06:06:00
9;2023-05-25 06:09:00
11;2023-05-25 06:10:00
12;2023-05-25 06:12:00
13;2023-05-25 06:13:00
14;2023-05-25 06:14:00
15;2023-05-25 06:20:00
16;2023-05-25 06:22:00
18;2023-05-25 06:29:00
20;2023-05-25 06:30:00
22;2023-05-25 06:33:00
23;2023-05-25 06:34:00
24;2023-05-25 06:36:00
25;2023-05-25 06:43:00
26;2023-05-25 06:45:00
28;2023-05-25 06:46:00
29;2023-05-25 06:53:00
31;2023-05-25 06:56:00
34;2023-05-25 07:07:00
35;2023-05-25 07:12:00
36;2023-05-25 07:21:00
37;2023-05-25 07:26:00
38;2023-05-25 07:29:00
39;2023-05-25 07:35:00
40;2023-05-25 07:39:00
41;2023-05-25 07:46:00
42;2023-05-25 07:48:00
44;2023-05-25 07:51:00
45;2023-05-25 07:54:00
46;2023-05-25 07:57:00
47;2023-05-25 08:00:00
49;2023-05-25 08:01:00
50;2023-05-25 08:05:00
52;2023-05-25 08:07:00
53;2023-05-25 08:09:00
54;2023-05-25 08:14:00
55;2023-05-25 08:22:00
56;2023-05-25 08:29:00
58;2023-05-25 08:33:00
60;2023-05-25 08:34:00
62;2023-05-25 08:38:00
63;2023-05-25 08:41:00
64;2023-05-25 08:44:00
67;2023-05-25 08:48:00
68;2023-05-25 08:51:00
70;2023-05-25 08:52:00
71;2023-05-25 08:57:00
73;2023-05-25 08:59:00
74;2023-05-25 09:06:00
76;2023-05-25 09:08:00
77;2023-05-25 09:10:00
78;2023-05-25 09:14:00
79;2023-05-25 09:15:00
80;2023-05-25 09:18:00
82;2023-05-25 09:19:00
83;2023-05-25 09:21:00
84;2023-05-25 09:23:00
86;2023-05-25 09:26:00
88;2023-05-25 09:29:00
90;2023-05-25 09:36:00
93;2023-05-25 09:37:00
95;2023-05-25 09:39:00
96;2023-05-25 09:46:00
97;2023-05-25 09:49:00
98;2023-05-25 09:52:00
100;2023-05-25 09:53:00
102;2023-05-25 09:55:00
103;2023-05-25 09:57:00
106;2023-05-25 09:59:00
107;2023-05-25 10:00:00
109;2023-05-25 10:03:00
111;2023-05-25 10:05:00
117;2023-05-25 10:07:00
118;2023-05-25 10:08:00
119;2023-05-25 10:09:00
120;2023-05-25 10:10:00
123;2023-05-25 10:11:00
124;2023-05-25 10:17:00
125;2023-05-25 10:18:00
129;2023-05-25 10:22:00
131;2023-05-25 10:25:00
133;2023-05-25 10:26:00
135;2023-05-25 10:27:00
136;2023-05-25 10:28:00
137;2023-05-25 10:30:00
138;2023-05-25 10:32:00
139;2023-05-25 10:33:00
143;2023-05-25 10:35:00
144;2023-05-25 10:36:00
145;2023-05-25 10:41:00
146;2023-05-25 10:49:00
147;2023-05-25 10:53:00
148;2023-05-25 10:55:00
149;2023-05-25 10:58:00
150;2023-05-25 11:00:00
152;2023-05-25 11:01:00
153;2023-05-25 11:02:00
154;2023-05-25 11:04:00
155;2023-05-25 11:05:00
158;2023-05-25 11:07:00
160;2023-05-25 11:10:00
161;2023-05-25 11:12:00
162;2023-05-25 11:17:00
163;2023-05-25 11:23:00
165;2023-05-25 11:24:00
166;2023-05-25 11:26:00
168;2023-05-25 11:27:00
169;2023-05-25 11:29:00
171;2023-05-25 11:31:00
172;2023-05-25 11:32:00
173;2023-05-25 11:37:00
174;2023-05-25 11:44:00
177;2023-05-25 11:46:00
179;2023-05-25 11:54:00
180;2023-05-25 11:57:00
182;2023-05-25 12:01:00
183;2023-05-25 12:03:00
185;2023-05-25 12:05:00
186;2023-05-25 12:09:00
187;2023-05-25 12:14:00
190;2023-05-25 12:15:00
191;2023-05-25 12:16:00
192;2023-05-25 12:19:00
193;2023-05-25 12:21:00
194;2023-05-25 12:23:00
197;2023-05-25 12:24:00
198;2023-05-25 12:26:00
199;2023-05-25 12:27:00
200;2023-05-25 12:31:00
201;2023-05-25 12:37:00
202;2023-05-25 12:38:00
204;2023-05-25 12:45:00
205;2023-05-25 12:46:00
207;2023-05-25 12:48:00
226;2023-05-25 13:31:00
228;2023-05-25 13:37:00
231;2023-05-25 13:41:00
233;2023-05-25 13:42:00
234;2023-05-25 13:43:00
235;2023-05-25 13:44:00
236;2023-05-25 13:57:00
237;2023-05-25 14:00:00
238;2023-05-25 14:06:00
239;2023-05-25 14:07:00
240;2023-05-25 14:13:00
241;2023-05-25 14:15:00
242;2023-05-25 14:20:00
243;2023-05-25 14:28:00
246;2023-05-25 14:33:00
247;2023-05-25 14:35:00
248;2023-05-25 14:37:00
249;2023-05-25 14:46:00
250;2023-05-25 14:56:00
252;2023-05-25 15:02:00
255;2023-05-25 15:04:00
256;2023-05-25 15:05:00
257;2023-05-25 15:07:00
259;2023-05-25 15:18:00
260;2023-05-25 15:22:00
262;2023-05-25 15:23:00
264;2023-05-25 15:26:00
265;2023-05-25 15:34:00
266;2023-05-25 15:35:00
269;2023-05-25 15:47:00
271;2023-05-25 15:49:00
274;2023-05-25 15:50:00
275;2023-05-25 15:55:00
277;2023-05-25 15:58:00
280;2023-05-25 16:00:00
281;2023-05-25 16:02:00
282;2023-05-25 16:05:00
283;2023-05-25 16:07:00
284;2023-05-25 16:09:00
286;2023-05-25 16:11:00
288;2023-05-25 16:16:00
292;2023-05-25 16:18:00
294;2023-05-25 16:20:00
295;2023-05-25 16:21:00
297;2023-05-25 16:22:00
299;2023-05-25 16:27:00
300;2023-05-25 16:31:00
301;2023-05-25 16:32:00
304;2023-05-25 16:35:00
306;2023-05-25 16:42:00
308;2023-05-25 16:42:00
311;2023-05-25 16:44:00
312;2023-05-25 16:47:00
314;2023-05-25 16:48:00
315;2023-05-25 16:50:00
316;2023-05-25 16:51:00
318;2023-05-25 16:54:00
319;2023-05-25 16:58:00
323;2023-05-25 17:00:00
325;2023-05-25 17:02:00
326;2023-05-25 17:03:00
328;2023-05-25 17:05:00
331;2023-05-25 17:08:00
332;2023-05-25 17:10:00
334;2023-05-25 17:11:00
335;2023-05-25 17:12:00
336;2023-05-25 17:16:00
338;2023-05-25 17:17:00
340;2023-05-25 17:23:00
341;2023-05-25 17:25:00
