aforo;hora
1;2023-05-28 09:11:00
2;2023-05-28 09:34:00
3;2023-05-28 09:40:00
4;2023-05-28 09:41:00
5;2023-05-28 09:42:00
6;2023-05-28 10:05:00
7;2023-05-28 10:16:00
9;2023-05-28 10:26:00
10;2023-05-28 10:27:00
11;2023-05-28 10:29:00
12;2023-05-28 10:43:00
14;2023-05-28 10:46:00
16;2023-05-28 10:57:00
17;2023-05-28 11:00:00
18;2023-05-28 11:01:00
19;2023-05-28 11:05:00
20;2023-05-28 11:08:00
21;2023-05-28 11:10:00
22;2023-05-28 11:14:00
23;2023-05-28 11:15:00
24;2023-05-28 11:16:00
25;2023-05-28 11:19:00
26;2023-05-28 11:22:00
28;2023-05-28 11:23:00
29;2023-05-28 11:25:00
30;2023-05-28 11:28:00
31;2023-05-28 11:29:00
33;2023-05-28 11:35:00
34;2023-05-28 11:41:00
36;2023-05-28 11:42:00
37;2023-05-28 11:47:00
38;2023-05-28 11:49:00
42;2023-05-28 11:53:00
43;2023-05-28 11:54:00
44;2023-05-28 11:57:00
45;2023-05-28 11:58:00
46;2023-05-28 11:59:00
48;2023-05-28 12:01:00
49;2023-05-28 12:02:00
50;2023-05-28 12:06:00
52;2023-05-28 12:09:00
55;2023-05-28 12:14:00
56;2023-05-28 12:16:00
57;2023-05-28 12:24:00
59;2023-05-28 12:27:00
61;2023-05-28 12:28:00
62;2023-05-28 12:31:00
63;2023-05-28 12:34:00
65;2023-05-28 12:44:00
66;2023-05-28 12:48:00
68;2023-05-28 12:49:00
70;2023-05-28 12:50:00
71;2023-05-28 12:55:00
73;2023-05-28 13:00:00
74;2023-05-28 13:01:00
75;2023-05-28 13:06:00
76;2023-05-28 13:10:00
78;2023-05-28 13:24:00
79;2023-05-28 13:27:00
80;2023-05-28 13:37:00
81;2023-05-28 13:39:00
82;2023-05-28 13:46:00
84;2023-05-28 13:57:00
85;2023-05-28 13:58:00
87;2023-05-28 14:08:00
89;2023-05-28 14:21:00
90;2023-05-28 14:25:00
91;2023-05-28 14:29:00
94;2023-05-28 14:34:00
96;2023-05-28 14:40:00
97;2023-05-28 14:41:00
99;2023-05-28 14:42:00
100;2023-05-28 14:47:00
102;2023-05-28 15:11:00
104;2023-05-28 15:12:00
105;2023-05-28 15:18:00
106;2023-05-28 15:24:00
110;2023-05-28 15:26:00
109;2023-05-28 15:27:00
111;2023-05-28 15:28:00
112;2023-05-28 15:29:00
113;2023-05-28 15:37:00
114;2023-05-28 15:49:00
115;2023-05-28 15:50:00
116;2023-05-28 15:58:00
117;2023-05-28 16:01:00
118;2023-05-28 16:02:00
119;2023-05-28 16:06:00
120;2023-05-28 16:08:00
121;2023-05-28 16:17:00
122;2023-05-28 16:18:00
123;2023-05-28 16:23:00
124;2023-05-28 16:25:00
125;2023-05-28 16:26:00
127;2023-05-28 16:27:00
129;2023-05-28 16:28:00
130;2023-05-28 16:29:00
132;2023-05-28 16:42:00
133;2023-05-28 16:44:00
134;2023-05-28 16:48:00
135;2023-05-28 16:49:00
136;2023-05-28 16:50:00
137;2023-05-28 16:53:00
139;2023-05-28 16:56:00
140;2023-05-28 17:00:00
142;2023-05-28 17:00:00
144;2023-05-28 17:01:00
145;2023-05-28 17:06:00
147;2023-05-28 17:07:00
148;2023-05-28 17:10:00
149;2023-05-28 17:11:00
150;2023-05-28 17:18:00
151;2023-05-28 17:24:00
152;2023-05-28 17:27:00
153;2023-05-28 17:30:00
154;2023-05-28 17:34:00
155;2023-05-28 17:36:00
156;2023-05-28 17:37:00
157;2023-05-28 17:41:00
158;2023-05-28 17:45:00
159;2023-05-28 17:46:00
161;2023-05-28 17:48:00
162;2023-05-28 17:50:00
163;2023-05-28 17:51:00
165;2023-05-28 17:56:00
167;2023-05-28 18:00:00
170;2023-05-28 18:01:00
171;2023-05-28 18:03:00
172;2023-05-28 18:10:00
173;2023-05-28 18:14:00
174;2023-05-28 18:15:00
175;2023-05-28 18:24:00
178;2023-05-28 18:25:00
180;2023-05-28 18:26:00
182;2023-05-28 18:27:00
183;2023-05-28 18:32:00
186;2023-05-28 18:33:00
187;2023-05-28 18:34:00
188;2023-05-28 18:36:00
190;2023-05-28 18:38:00
191;2023-05-28 18:53:00
192;2023-05-28 19:00:00
193;2023-05-28 19:01:00
194;2023-05-28 19:04:00
195;2023-05-28 19:05:00
197;2023-05-28 19:06:00
199;2023-05-28 19:07:00
201;2023-05-28 19:10:00
203;2023-05-28 19:11:00
204;2023-05-28 19:12:00
205;2023-05-28 19:14:00
206;2023-05-28 19:18:00
207;2023-05-28 19:25:00
210;2023-05-28 19:32:00
211;2023-05-28 19:36:00
213;2023-05-28 19:37:00
215;2023-05-28 19:39:00
216;2023-05-28 19:40:00
219;2023-05-28 19:44:00
220;2023-05-28 19:45:00
221;2023-05-28 19:57:00
222;2023-05-28 19:59:00
223;2023-05-28 20:15:00
224;2023-05-28 20:18:00
